Data;dias_uteis;dias;dias_n_uteis;dias_uteis_ok
jan/70;21;31;10;-4
fev/70;19;28;9;-3,5
mar/70;21;31;10;-4
abr/70;21;30;9;-1,5
mai/70;19;31;12;-11
jun/70;22;30;8;2
jul/70;23;31;8;3
ago/70;21;31;10;-4
set/70;21;30;9;-1,5
out/70;21;31;10;-4
nov/70;20;30;10;-5
dez/70;22;31;9;-0,5
jan/71;20;31;11;-7,5
fev/71;19;28;9;-3,5
mar/71;23;31;8;3
abr/71;20;30;10;-5
mai/71;21;31;10;-4
jun/71;21;30;9;-1,5
jul/71;22;31;9;-0,5
ago/71;22;31;9;-0,5
set/71;21;30;9;-1,5
out/71;20;31;11;-7,5
nov/71;20;30;10;-5
dez/71;23;31;8;3
jan/72;21;31;10;-4
fev/72;20;29;9;-2,5
mar/72;22;31;9;-0,5
abr/72;19;30;11;-8,5
mai/72;22;31;9;-0,5
jun/72;21;30;9;-1,5
jul/72;21;31;10;-4
ago/72;23;31;8;3
set/72;20;30;10;-5
out/72;21;31;10;-4
nov/72;20;30;10;-5
dez/72;20;31;11;-7,5
jan/73;22;31;9;-0,5
fev/73;20;28;8;0
mar/73;21;31;10;-4
abr/73;20;30;10;-5
mai/73;22;31;9;-0,5
jun/73;20;30;10;-5
jul/73;22;31;9;-0,5
ago/73;23;31;8;3
set/73;19;30;11;-8,5
out/73;22;31;9;-0,5
nov/73;20;30;10;-5
dez/73;20;31;11;-7,5
jan/74;22;31;9;-0,5
fev/74;19;28;9;-3,5
mar/74;21;31;10;-4
abr/74;21;30;9;-1,5
mai/74;22;31;9;-0,5
jun/74;19;30;11;-8,5
jul/74;23;31;8;3
ago/74;22;31;9;-0,5
set/74;21;30;9;-1,5
out/74;23;31;8;3
nov/74;20;30;10;-5
dez/74;21;31;10;-4
jan/75;22;31;9;-0,5
fev/75;19;28;9;-3,5
mar/75;20;31;11;-7,5
abr/75;21;30;9;-1,5
mai/75;20;31;11;-7,5
jun/75;21;30;9;-1,5
jul/75;23;31;8;3
ago/75;21;31;10;-4
set/75;22;30;8;2
out/75;23;31;8;3
nov/75;20;30;10;-5
dez/75;22;31;9;-0,5
jan/76;21;31;10;-4
fev/76;20;29;9;-2,5
mar/76;22;31;9;-0,5
abr/76;20;30;10;-5
mai/76;21;31;10;-4
jun/76;21;30;9;-1,5
jul/76;22;31;9;-0,5
ago/76;22;31;9;-0,5
set/76;21;30;9;-1,5
out/76;20;31;11;-7,5
nov/76;20;30;10;-5
dez/76;23;31;8;3
jan/77;21;31;10;-4
fev/77;19;28;9;-3,5
mar/77;23;31;8;3
abr/77;19;30;11;-8,5
mai/77;22;31;9;-0,5
jun/77;21;30;9;-1,5
jul/77;21;31;10;-4
ago/77;23;31;8;3
set/77;21;30;9;-1,5
out/77;20;31;11;-7,5
nov/77;20;30;10;-5
dez/77;22;31;9;-0,5
jan/78;22;31;9;-0,5
fev/78;19;28;9;-3,5
mar/78;22;31;9;-0,5
abr/78;19;30;11;-8,5
mai/78;21;31;10;-4
jun/78;22;30;8;2
jul/78;21;31;10;-4
ago/78;23;31;8;3
set/78;20;30;10;-5
out/78;21;31;10;-4
nov/78;20;30;10;-5
dez/78;20;31;11;-7,5
jan/79;22;31;9;-0,5
fev/79;19;28;9;-3,5
mar/79;22;31;9;-0,5
abr/79;20;30;10;-5
mai/79;22;31;9;-0,5
jun/79;20;30;10;-5
jul/79;22;31;9;-0,5
ago/79;23;31;8;3
set/79;19;30;11;-8,5
out/79;22;31;9;-0,5
nov/79;20;30;10;-5
dez/79;20;31;11;-7,5
jan/80;22;31;9;-0,5
fev/80;20;29;9;-2,5
mar/80;21;31;10;-4
abr/80;20;30;10;-5
mai/80;21;31;10;-4
jun/80;20;30;10;-5
jul/80;23;31;8;3
ago/80;21;31;10;-4
set/80;22;30;8;2
out/80;23;31;8;3
nov/80;20;30;10;-5
dez/80;22;31;9;-0,5
jan/81;21;31;10;-4
fev/81;20;28;8;0
mar/81;21;31;10;-4
abr/81;20;30;10;-5
mai/81;20;31;11;-7,5
jun/81;21;30;9;-1,5
jul/81;23;31;8;3
ago/81;21;31;10;-4
set/81;21;30;9;-1,5
